Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Team,MP.1,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Expected_Ast,Expected_xAG,Expected_xA,Expected_A-xAG,Expected_KP,Expected_1/3,Expected_PPA,Expected_CrsPA,Expected_PrgP
Pape Matar Sarr,sn SEN,MF,20.0,34.0,27,2069.0,23.0,3.0,3.0,6.0,3.0,0.0,0.0,9.0,0.0,3.4,3.4,2.2,5.7,43.0,150.0,90.0,0.13,0.13,0.26,0.13,0.26,0.15,0.1,0.25,0.15,0.25,Matches,Tottenham,,,,,,,,,,,,,,,,,3.0,36.0,13.0,36.1,1.57,0.57,0.08,0.23,17.6,0.0,0.0,0.0,3.4,3.4,0.1,-0.4,-0.4,1179,1349,87.4,17118,4177,662,718,92.2,402,453,88.7,52,77,67.5,3,2.2,2.1,+0.8,20,108,23,4,150
James Maddison,eng ENG,MF,26.0,28.0,26,2135.0,23.7,4.0,9.0,13.0,4.0,0.0,0.0,5.0,0.0,6.4,6.4,5.9,12.4,58.0,224.0,156.0,0.17,0.38,0.55,0.17,0.55,0.27,0.25,0.52,0.27,0.52,Matches,Tottenham,,,,,,,,,,,,,,,,,4.0,58.0,23.0,39.7,2.44,0.97,0.07,0.17,19.2,3.0,0.0,0.0,6.4,6.4,0.11,-2.4,-2.4,1210,1500,80.7,19513,6251,631,684,92.3,457,557,82.0,94,180,52.2,9,5.9,6.3,+3.1,67,130,59,3,224
Yves Bissouma,ml MLI,MF,26.0,28.0,26,2068.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,1.4,1.4,0.4,1.8,43.0,169.0,13.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,Matches,Tottenham,,,,,,,,,,,,,,,,,0.0,24.0,5.0,20.8,1.04,0.22,0.0,0.0,25.0,1.0,0.0,0.0,1.4,1.4,0.06,-1.4,-1.4,1689,1842,91.7,25078,7214,948,1006,94.2,607,651,93.2,68,84,81.0,0,0.4,1.7,-0.4,11,156,12,0,169
Brennan Johnson,wls WAL,FW,22.0,32.0,23,2085.0,23.2,5.0,10.0,15.0,5.0,0.0,0.0,3.0,0.0,10.3,10.3,8.1,18.3,97.0,72.0,293.0,0.22,0.43,0.65,0.22,0.65,0.44,0.35,0.79,0.44,0.79,Matches,Tottenham,,,,,,,,,,,,,,,,,5.0,50.0,19.0,38.0,2.16,0.82,0.1,0.26,12.9,0.0,0.0,0.0,10.3,10.3,0.21,-5.3,-5.3,519,728,71.3,7315,1778,333,405,82.2,158,217,72.8,15,45,33.3,10,8.1,4.5,+1.9,45,32,39,10,72
Richarlison,br BRA,FW,26.0,28.0,18,1491.0,16.6,11.0,4.0,15.0,11.0,0.0,0.0,3.0,0.0,9.6,9.6,2.1,11.7,26.0,38.0,106.0,0.66,0.24,0.91,0.66,0.91,0.58,0.13,0.7,0.58,0.7,Matches,Tottenham,,,,,,,,,,,,,,,,,11.0,62.0,25.0,40.3,3.74,1.51,0.18,0.44,12.9,0.0,0.0,0.0,9.6,9.6,0.15,1.4,1.4,267,392,68.1,3761,956,153,193,79.3,85,119,71.4,10,15,66.7,4,2.1,1.4,+1.9,15,21,13,1,38
Rodrigo Bentancur,uy URU,MF,26.0,23.0,13,1005.0,11.2,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,1.9,1.9,0.5,2.4,16.0,72.0,31.0,0.09,0.09,0.18,0.09,0.18,0.17,0.04,0.22,0.17,0.22,Matches,Tottenham,,,,,,,,,,,,,,,,,1.0,18.0,4.0,22.2,1.61,0.36,0.06,0.25,16.3,0.0,0.0,0.0,1.9,1.9,0.11,-0.9,-0.9,674,800,84.3,10011,2610,384,426,90.1,244,282,86.5,29,41,70.7,1,0.5,1.1,+0.5,8,69,11,1,72
Ben Davies,wls WAL,DF,30.0,17.0,12,1090.0,12.1,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.3,2.3,0.4,2.7,13.0,71.0,20.0,0.08,0.0,0.08,0.08,0.08,0.19,0.03,0.23,0.19,0.23,Matches,Tottenham,,,,,,,,,,,,,,,,,1.0,12.0,2.0,16.7,0.99,0.17,0.08,0.5,11.8,0.0,0.0,0.0,2.3,2.3,0.19,-1.3,-1.3,766,850,90.1,13839,5258,303,324,93.5,388,413,93.9,60,81,74.1,0,0.4,0.6,-0.4,4,80,4,0,71
Emerson,br BRA,DF,24.0,22.0,11,1161.0,12.9,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.2,0.2,0.4,0.6,21.0,57.0,35.0,0.08,0.0,0.08,0.08,0.08,0.02,0.03,0.05,0.02,0.05,Matches,Tottenham,,,,,,,,,,,,,,,,,1.0,6.0,3.0,50.0,0.47,0.23,0.17,0.33,22.5,0.0,0.0,0.0,0.2,0.2,0.03,0.8,0.8,937,1038,90.3,13652,3714,529,558,94.8,339,362,93.6,32,45,71.1,0,0.4,0.9,-0.4,3,42,7,2,57
Timo Werner,de GER,FW,27.0,13.0,10,809.0,9.0,2.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,3.7,3.7,2.7,6.4,79.0,41.0,124.0,0.22,0.33,0.56,0.22,0.56,0.41,0.3,0.72,0.41,0.72,Matches,Tottenham,,,,,,,,,,,,,,,,,2.0,29.0,7.0,24.1,3.23,0.78,0.07,0.29,14.1,0.0,0.0,0.0,3.7,3.7,0.13,-1.7,-1.7,281,366,76.8,4049,863,163,189,86.2,108,138,78.3,6,12,50.0,3,2.7,2.9,+0.3,15,9,20,5,41
Pierre Højbjerg,dk DEN,MF,27.0,36.0,8,1311.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,1.2,1.9,17.0,134.0,29.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.13,0.05,0.13,Matches,Tottenham,,,,,,,,,,,,,,,,,0.0,19.0,6.0,31.6,1.3,0.41,0.0,0.0,26.5,3.0,0.0,0.0,0.7,0.7,0.04,-0.7,-0.7,1234,1415,87.2,20132,7286,652,718,90.8,440,480,91.7,100,142,70.4,0,1.2,1.5,-1.2,9,160,12,1,134
Oliver Skipp,eng ENG,"MF,DF",22.0,21.0,5,707.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.7,0.7,0.6,1.3,8.0,37.0,25.0,0.0,0.0,0.0,0.0,0.0,0.09,0.07,0.16,0.09,0.16,Matches,Tottenham,,,,,,,,,,,,,,,,,0.0,4.0,1.0,25.0,0.51,0.13,0.0,0.0,13.7,0.0,0.0,0.0,0.7,0.7,0.17,-0.7,-0.7,351,383,91.6,5258,1454,199,210,94.8,123,131,93.9,19,24,79.2,0,0.6,0.5,-0.6,7,37,3,0,37
Giovani Lo Celso,ar ARG,MF,27.0,22.0,4,506.0,5.6,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.6,0.6,1.9,2.5,25.0,68.0,29.0,0.36,0.36,0.71,0.36,0.71,0.1,0.34,0.45,0.1,0.45,Matches,Tottenham,,,,,,,,,,,,,,,,,2.0,13.0,6.0,46.2,2.31,1.07,0.15,0.33,21.7,0.0,0.0,0.0,0.6,0.6,0.04,1.4,1.4,449,503,89.3,6799,2073,244,260,93.8,153,165,92.7,33,45,73.3,2,1.9,1.9,+0.1,18,44,14,3,68
Radu Drăgușin,ro ROU,DF,21.0,9.0,4,429.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,5.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,Tottenham,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.21,0.0,0.0,,10.4,0.0,0.0,0.0,0.1,0.1,0.14,-0.1,-0.1,326,370,88.1,5633,1782,130,148,87.8,185,198,93.4,8,16,50.0,0,0.0,0.0,0.0,0,10,0,0,8
Bryan Gil,es ESP,"FW,MF",22.0,11.0,2,209.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.2,1.0,11.0,16.0,49.0,0.0,0.0,0.0,0.0,0.0,0.32,0.09,0.41,0.32,0.41,Matches,Tottenham,,,,,,,,,,,,,,,,,0.0,4.0,1.0,25.0,1.72,0.43,0.0,0.0,13.9,0.0,0.0,0.0,0.8,0.8,0.19,-0.8,-0.8,127,157,80.9,1809,344,69,81,85.2,54,62,87.1,1,2,50.0,0,0.2,0.3,-0.2,4,6,8,1,16
Manor Solomon,il ISR,FW,24.0,5.0,2,199.0,2.2,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.8,1.2,17.0,11.0,44.0,0.0,0.9,0.9,0.0,0.9,0.19,0.38,0.56,0.19,0.56,Matches,Tottenham,,,,,,,,,,,,,,,,,0.0,7.0,1.0,14.3,3.17,0.45,0.0,0.0,16.8,0.0,0.0,0.0,0.4,0.4,0.06,-0.4,-0.4,78,90,86.7,1105,196,45,48,93.8,28,35,80.0,3,4,75.0,2,0.8,0.8,+1.2,12,3,7,1,11
Eric Dier,eng ENG,DF,29.0,4.0,1,201.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,125,141,88.7,2070,1037,52,57,91.2,69,72,95.8,3,10,30.0,0,0.0,0.0,0.0,0,3,0,0,3
Ivan Perišić,hr CRO,FW,34.0,5.0,0,103.0,1.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.9,1.0,15.0,9.0,17.0,0.0,0.87,0.87,0.0,0.87,0.1,0.75,0.85,0.1,0.85,Matches,Tottenham,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,1.75,0.0,0.0,,13.0,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1,53,76,69.7,828,363,31,39,79.5,14,22,63.6,7,13,53.8,1,0.9,0.7,+0.1,5,4,6,2,9
Davinson Sánchez,co COL,DF,27.0,1.0,0,77.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches,Tottenham,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.17,0.0,0.0,,8.6,0.0,0.0,0.0,0.1,0.1,0.12,-0.1,-0.1,68,75,90.7,1045,377,37,38,97.4,27,29,93.1,3,6,50.0,0,0.0,0.0,0.0,0,13,0,0,2
Alejo Véliz,ar ARG,FW,19.0,8.0,0,50.0,0.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,3.0,1.8,0.0,1.8,1.8,1.8,0.45,0.0,0.45,0.45,0.45,Matches,Tottenham,,,,,,,,,,,,,,,,,1.0,2.0,1.0,50.0,3.6,1.8,0.5,1.0,8.9,0.0,0.0,0.0,0.2,0.2,0.12,0.8,0.8,5,10,50.0,91,5,2,4,50.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1
Dane Scarlett,eng ENG,FW,19.0,4.0,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2,3,66.7,25,16,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1
Mikey Moore,eng ENG,MF,15.0,2.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,5,80.0,51,11,3,4,75.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
Jamie Donley,eng ENG,FW,18.0,3.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1,1,100.0,14,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Brandon Austin,eng ENG,GK,24.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfie Dorrington,eng ENG,DF,18.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fraser Forster,eng ENG,GK,35.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrese Hall,eng ENG,MF,17.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley Phillips,wls WAL,DF,18.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yago Santiago,es ESP,"FW,MF",20.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfie Whiteman,eng ENG,GK,24.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conor Gallagher,eng ENG,MF,23.0,37.0,37,3128.0,34.8,5.0,7.0,12.0,5.0,0.0,0.0,9.0,1.0,4.2,4.2,5.0,9.2,62.0,172.0,122.0,0.14,0.2,0.35,0.14,0.35,0.12,0.15,0.27,0.12,0.27,Matches,Chelsea,,,,,,,,,,,,,,,,,5.0,48.0,17.0,35.4,1.38,0.49,0.1,0.29,20.4,0.0,0.0,0.0,4.2,4.2,0.09,0.8,0.8,1801,2018,89.2,26732,5954,1054,1116,94.4,598,654,91.4,95,146,65.1,7,5.0,3.5,+2.0,52,135,32,4,172
Moisés Caicedo,ec ECU,MF,21.0,35.0,33,2866.0,31.8,1.0,3.0,4.0,1.0,0.0,0.0,11.0,0.0,0.4,0.4,2.6,3.0,27.0,173.0,27.0,0.03,0.09,0.13,0.03,0.13,0.01,0.08,0.09,0.01,0.09,Matches,Chelsea,,,,,,,,,,,,,,,,,1.0,13.0,4.0,30.8,0.41,0.13,0.08,0.25,29.0,0.0,0.0,0.0,0.4,0.4,0.03,0.6,0.6,1907,2119,90.0,29696,8181,1046,1120,93.4,673,726,92.7,124,162,76.5,3,2.6,2.0,+0.4,23,176,20,0,173
Nicolas Jackson,sn SEN,FW,22.0,35.0,31,2799.0,31.1,14.0,5.0,19.0,14.0,0.0,0.0,10.0,0.0,18.6,18.6,4.3,22.9,70.0,67.0,200.0,0.45,0.16,0.61,0.45,0.61,0.6,0.14,0.74,0.6,0.74,Matches,Chelsea,,,,,,,,,,,,,,,,,14.0,80.0,38.0,47.5,2.57,1.22,0.18,0.37,12.6,0.0,0.0,0.0,18.6,18.6,0.23,-4.6,-4.6,515,666,77.3,6528,1537,323,386,83.7,126,164,76.8,20,27,74.1,5,4.3,2.9,+0.7,38,40,21,0,67
Cole Palmer,eng ENG,"FW,MF",21.0,33.0,29,2607.0,29.0,22.0,11.0,33.0,13.0,9.0,9.0,7.0,0.0,18.2,11.1,11.1,22.2,117.0,197.0,195.0,0.76,0.38,1.14,0.45,0.83,0.63,0.38,1.01,0.38,0.77,Matches,Chelsea,,,,,,,,,,,,,,,,,22.0,100.0,37.0,37.0,3.45,1.28,0.13,0.35,22.1,11.0,9.0,9.0,18.2,11.1,0.11,3.8,1.9,1121,1415,79.2,18622,5642,574,636,90.3,407,479,85.0,101,186,54.3,11,11.1,8.7,-0.1,72,136,69,5,197
Axel Disasi,fr FRA,DF,25.0,31.0,29,2579.0,28.7,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,2.4,2.4,0.3,2.7,30.0,112.0,21.0,0.07,0.0,0.07,0.07,0.07,0.08,0.01,0.09,0.08,0.09,Matches,Chelsea,,,,,,,,,,,,,,,,,2.0,16.0,4.0,25.0,0.56,0.14,0.13,0.5,10.3,0.0,0.0,0.0,2.4,2.4,0.15,-0.4,-0.4,2031,2256,90.0,34081,11464,877,913,96.1,1050,1124,93.4,86,168,51.2,0,0.3,1.0,-0.3,3,115,8,1,112
Thiago Silva,br BRA,DF,38.0,31.0,28,2527.0,28.1,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,0.8,0.8,1.0,1.8,2.0,102.0,5.0,0.11,0.04,0.14,0.11,0.14,0.03,0.04,0.06,0.03,0.06,Matches,Chelsea,,,,,,,,,,,,,,,,,3.0,14.0,4.0,28.6,0.5,0.14,0.21,0.75,9.4,0.0,0.0,0.0,0.8,0.8,0.06,2.2,2.2,2166,2287,94.7,38542,15513,887,918,96.6,1119,1157,96.7,143,186,76.9,1,1.0,0.6,0.0,9,125,10,1,102
Enzo Fernández,ar ARG,MF,22.0,28.0,26,2209.0,24.5,3.0,2.0,5.0,2.0,1.0,2.0,7.0,0.0,6.2,4.6,3.4,8.0,52.0,210.0,54.0,0.12,0.08,0.2,0.08,0.16,0.25,0.14,0.39,0.19,0.33,Matches,Chelsea,,,,,,,,,,,,,,,,,3.0,45.0,13.0,28.9,1.83,0.53,0.04,0.15,21.3,2.0,1.0,2.0,6.2,4.6,0.1,-3.2,-2.6,1574,1862,84.5,28776,8415,674,742,90.8,661,744,88.8,196,273,71.8,2,3.4,3.7,-1.4,32,177,43,4,210
Đorđe Petrović,rs SRB,GK,23.0,23.0,22,1987.0,22.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea,,38.0,1.72,108.0,73.0,65.7,13.0,5.0,4.0,5.0,22.7,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,635,806,78.8,14560,8862,188,188,100.0,321,324,99.1,123,289,42.6,0,0.0,0.0,0.0,0,3,0,0,1
Raheem Sterling,eng ENG,"FW,MF",28.0,31.0,22,1978.0,22.0,8.0,4.0,12.0,8.0,0.0,0.0,7.0,0.0,6.5,6.5,4.5,11.0,120.0,78.0,242.0,0.36,0.18,0.55,0.36,0.55,0.29,0.2,0.5,0.29,0.5,Matches,Chelsea,,,,,,,,,,,,,,,,,8.0,51.0,21.0,41.2,2.32,0.96,0.16,0.38,14.5,5.0,0.0,0.0,6.5,6.5,0.13,1.5,1.5,538,728,73.9,7091,1775,363,428,84.8,135,191,70.7,18,33,54.5,4,4.5,4.3,-0.5,30,31,35,7,78
Levi Colwill,eng ENG,DF,20.0,23.0,20,1797.0,20.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.3,1.3,1.2,2.5,23.0,73.0,27.0,0.05,0.05,0.1,0.05,0.1,0.06,0.06,0.12,0.06,0.12,Matches,Chelsea,,,,,,,,,,,,,,,,,1.0,11.0,3.0,27.3,0.55,0.15,0.09,0.33,11.9,0.0,0.0,0.0,1.3,1.3,0.12,-0.3,-0.3,965,1163,83.0,16310,5939,444,495,89.7,456,508,89.8,51,117,43.6,1,1.2,0.5,-0.2,7,82,6,0,73
Marc Cucurella,es ESP,DF,25.0,21.0,20,1782.0,19.8,0.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,1.1,1.1,1.1,2.2,31.0,50.0,73.0,0.0,0.1,0.1,0.0,0.1,0.06,0.05,0.11,0.06,0.11,Matches,Chelsea,,,,,,,,,,,,,,,,,0.0,8.0,4.0,50.0,0.4,0.2,0.0,0.0,14.4,0.0,0.0,0.0,1.1,1.1,0.14,-1.1,-1.1,1036,1196,86.6,15110,4408,595,645,92.2,383,430,89.1,32,65,49.2,2,1.1,1.2,+0.9,19,51,7,4,50
Malo Gusto,fr FRA,DF,20.0,27.0,19,1751.0,19.5,0.0,6.0,6.0,0.0,0.0,0.0,7.0,1.0,0.9,0.9,4.3,5.2,78.0,86.0,135.0,0.0,0.31,0.31,0.0,0.31,0.05,0.22,0.27,0.05,0.27,Matches,Chelsea,,,,,,,,,,,,,,,,,0.0,15.0,5.0,33.3,0.77,0.26,0.0,0.0,18.2,0.0,0.0,0.0,0.9,0.9,0.06,-0.9,-0.9,1230,1423,86.4,17534,5080,761,829,91.8,394,454,86.8,48,73,65.8,6,4.3,3.3,+1.7,32,49,29,13,86
Mykhailo Mudryk,ua UKR,FW,22.0,31.0,18,1576.0,17.5,5.0,2.0,7.0,5.0,0.0,0.0,5.0,0.0,4.4,4.4,4.1,8.5,92.0,45.0,139.0,0.29,0.11,0.4,0.29,0.4,0.25,0.23,0.48,0.25,0.48,Matches,Chelsea,,,,,,,,,,,,,,,,,5.0,35.0,12.0,34.3,2.0,0.69,0.14,0.42,17.2,0.0,0.0,0.0,4.4,4.4,0.13,0.6,0.6,385,566,68.0,5618,1853,237,300,79.0,96,148,64.9,30,66,45.5,2,4.1,3.2,-2.1,32,24,22,4,45
Robert Sánchez,es ESP,GK,25.0,16.0,16,1433.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea,,25.0,1.57,78.0,52.0,70.5,5.0,4.0,7.0,3.0,18.8,3.0,2.0,1.0,0.0,33.3,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,500,609,82.1,11860,7720,135,136,99.3,250,257,97.3,112,211,53.1,0,0.0,0.0,0.0,0,8,0,0,1
Benoît Badiashile,fr FRA,DF,22.0,18.0,15,1338.0,14.9,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.5,1.8,3.0,46.0,3.0,0.0,0.07,0.07,0.0,0.07,0.02,0.1,0.12,0.02,0.12,Matches,Chelsea,,,,,,,,,,,,,,,,,0.0,6.0,1.0,16.7,0.4,0.07,0.0,0.0,14.1,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,1065,1173,90.8,18737,7087,442,463,95.5,543,584,93.0,71,106,67.0,1,1.5,0.9,-0.5,6,48,4,0,46
Noni Madueke,eng ENG,FW,21.0,23.0,13,1053.0,11.7,5.0,2.0,7.0,4.0,1.0,1.0,2.0,0.0,2.5,1.7,2.6,4.3,76.0,52.0,136.0,0.43,0.17,0.6,0.34,0.51,0.21,0.23,0.44,0.14,0.37,Matches,Chelsea,,,,,,,,,,,,,,,,,5.0,31.0,12.0,38.7,2.65,1.03,0.13,0.33,19.0,0.0,1.0,1.0,2.5,1.7,0.05,2.5,2.3,412,486,84.8,5511,1281,268,294,91.2,115,136,84.6,13,20,65.0,2,2.6,2.0,-0.6,20,23,13,2,52
Trevoh Chalobah,eng ENG,DF,24.0,13.0,10,952.0,10.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.3,5.0,31.0,9.0,0.09,0.0,0.09,0.09,0.09,0.02,0.01,0.02,0.02,0.02,Matches,Chelsea,,,,,,,,,,,,,,,,,1.0,2.0,2.0,100.0,0.19,0.19,0.5,0.5,9.5,0.0,0.0,0.0,0.2,0.2,0.1,0.8,0.8,700,783,89.4,12088,3518,278,302,92.1,377,397,95.0,35,70,50.0,0,0.1,0.4,-0.1,2,30,2,0,31
Ben Chilwell,eng ENG,DF,26.0,13.0,9,756.0,8.4,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.2,1.2,2.2,3.4,22.0,25.0,59.0,0.0,0.12,0.12,0.0,0.12,0.14,0.26,0.41,0.14,0.41,Matches,Chelsea,,,,,,,,,,,,,,,,,0.0,12.0,4.0,33.3,1.43,0.48,0.0,0.0,16.6,1.0,0.0,0.0,1.2,1.2,0.1,-1.2,-1.2,373,495,75.4,5230,1552,230,259,88.8,112,143,78.3,18,48,37.5,1,2.2,1.8,-1.2,14,29,2,2,25
Armando Broja,al ALB,FW,21.0,13.0,6,454.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.4,2.4,0.2,2.5,11.0,6.0,37.0,0.2,0.0,0.2,0.2,0.2,0.47,0.03,0.5,0.47,0.5,Matches,Chelsea,,,,,,,,,,,,,,,,,1.0,13.0,2.0,15.4,2.58,0.4,0.08,0.5,11.1,0.0,0.0,0.0,2.4,2.4,0.18,-1.4,-1.4,83,94,88.3,932,91,60,64,93.8,15,18,83.3,1,2,50.0,0,0.2,0.3,-0.2,3,2,2,0,6
Reece James,eng ENG,DF,23.0,10.0,5,419.0,4.7,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.3,0.3,1.7,2.1,19.0,21.0,35.0,0.0,0.43,0.43,0.0,0.43,0.07,0.37,0.44,0.07,0.44,Matches,Chelsea,,,,,,,,,,,,,,,,,0.0,7.0,1.0,14.3,1.5,0.21,0.0,0.0,20.9,3.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3,275,341,80.6,4433,1383,144,163,88.3,104,130,80.0,19,34,55.9,2,1.7,1.6,+0.3,11,21,6,3,21
